专家,打分,标准
评审专家28,68,52.44
评审专家33,70,55.77
评审专家9,56,49.30
评审专家34,67,54.20
评审专家2,62,46.60
评审专家20,75,63.89
评审专家12,68,57.05
评审专家36,65,46.06
评审专家5,67,48.83
评审专家20,60,50.47
评审专家38,52,39.51
评审专家25,60,49.25
评审专家14,60,51.86
评审专家26,62,56.02
评审专家2,60,43.09
评审专家7,80,43.15
评审专家15,63,47.68
评审专家12,60,48.98
评审专家31,72,55.88
评审专家30,53,45.47
评审专家43,55,40.44
评审专家11,65,48.38
评审专家36,63,42.30
评审专家42,76,62.60
评审专家40,56,36.06
评审专家5,71,53.25
评审专家40,68,51.19
评审专家16,58,42.00
评审专家9,55,48.35
评审专家42,62,50.69
评审专家30,60,57.08
评审专家38,68,58.53
评审专家18,68,55.69
评审专家18,76,64.75
评审专家16,62,46.33
评审专家8,62,46.04
评审专家19,70,55.80
评审专家36,65,46.06
评审专家41,63,45.98
评审专家7,78,67.20
评审专家31,60,44.29
评审专家5,79,62.11
评审专家2,59,41.34
评审专家40,55,34.80
评审专家17,75,55.84
评审专家27,68,58.18
评审专家12,70,59.07
评审专家39,52,52.65
评审专家38,58,46.64
评审专家32,61,44.63
评审专家20,58,48.68
评审专家4,65,48.74
评审专家33,63,44.86
评审专家14,65,57.81
评审专家16,70,55.00
评审专家9,81,49.00
评审专家45,51,41.96
评审专家1,67,48.29
评审专家38,59,47.83
评审专家17,66,43.45
评审专家35,63,45.66
评审专家15,58,41.34
评审专家6,55,39.09
评审专家38,58,46.64
评审专家8,69,54.62
评审专家25,58,46.98
评审专家40,58,38.58
评审专家41,56,35.55
评审专家28,58,37.31
评审专家32,65,50.02
评审专家7,63,45.06
评审专家13,62,49.12
评审专家38,58,46.64
评审专家4,69,55.39
评审专家8,68,53.39
评审专家43,58,44.29
评审专家42,53,43.04
评审专家10,65,56.66
评审专家23,70,55.78
评审专家23,69,54.64
评审专家22,75,54.93
评审专家43,64,51.98
评审专家5,62,43.30
评审专家37,52,39.56
评审专家2,65,51.85
评审专家1,59,38.34
评审专家33,74,62.00
评审专家31,68,52.01
评审专家14,55,45.90
评审专家41,70,56.42
评审专家38,50,37.13
评审专家38,60,49.02
评审专家19,63,44.17
评审专家19,71,57.46
评审专家24,62,43.82
评审专家30,52,43.81
评审专家34,62,46.99
评审专家23,58,42.10
评审专家22,55,40.09
评审专家44,69,54.53
评审专家21,56,48.28
评审专家6,60,47.63
评审专家28,63,44.88
评审专家13,65,52.69
评审专家12,62,51.00
评审专家38,78,70.41
评审专家22,73,53.45
